document;corpus
0.txt;adboard_data
1.txt;adboard_data
10.txt;adboard_data
11.txt;adboard_data
12.txt;adboard_data
13.txt;adboard_data
14.txt;adboard_data
15.txt;adboard_data
16.txt;adboard_data
17.txt;adboard_data
18.txt;adboard_data
19.txt;adboard_data
2.txt;adboard_data
20.txt;adboard_data
21.txt;adboard_data
22.txt;adboard_data
23.txt;adboard_data
24.txt;adboard_data
25.txt;adboard_data
26.txt;adboard_data
27.txt;adboard_data
28.txt;adboard_data
29.txt;adboard_data
3.txt;adboard_data
30.txt;adboard_data
31.txt;adboard_data
32.txt;adboard_data
33.txt;adboard_data
34.txt;adboard_data
35.txt;adboard_data
36.txt;adboard_data
37.txt;adboard_data
38.txt;adboard_data
39.txt;adboard_data
4.txt;adboard_data
40.txt;adboard_data
5.txt;adboard_data
6.txt;adboard_data
7.txt;adboard_data
8.txt;adboard_data
9.txt;adboard_data
