document_corpus;document
0.txt_adboard_data;0.txt
1.txt_adboard_data;1.txt
10.txt_adboard_data;10.txt
11.txt_adboard_data;11.txt
12.txt_adboard_data;12.txt
13.txt_adboard_data;13.txt
14.txt_adboard_data;14.txt
15.txt_adboard_data;15.txt
16.txt_adboard_data;16.txt
17.txt_adboard_data;17.txt
18.txt_adboard_data;18.txt
19.txt_adboard_data;19.txt
2.txt_adboard_data;2.txt
20.txt_adboard_data;20.txt
21.txt_adboard_data;21.txt
22.txt_adboard_data;22.txt
23.txt_adboard_data;23.txt
24.txt_adboard_data;24.txt
25.txt_adboard_data;25.txt
26.txt_adboard_data;26.txt
27.txt_adboard_data;27.txt
28.txt_adboard_data;28.txt
29.txt_adboard_data;29.txt
3.txt_adboard_data;3.txt
30.txt_adboard_data;30.txt
31.txt_adboard_data;31.txt
32.txt_adboard_data;32.txt
33.txt_adboard_data;33.txt
34.txt_adboard_data;34.txt
35.txt_adboard_data;35.txt
36.txt_adboard_data;36.txt
37.txt_adboard_data;37.txt
38.txt_adboard_data;38.txt
39.txt_adboard_data;39.txt
4.txt_adboard_data;4.txt
40.txt_adboard_data;40.txt
5.txt_adboard_data;5.txt
6.txt_adboard_data;6.txt
7.txt_adboard_data;7.txt
8.txt_adboard_data;8.txt
9.txt_adboard_data;9.txt
